term,estimate,se,p,n,lambda,resid_moran,class,response,response_type,hypothesis,thermal,p_adj
hfp2020,-0.00609163798719789,0.0126676042377584,0.630599517763026,3196,0.961479188026296,-0.00325854134748671,Reptilia,nocturnality,single trait,Human pressure,Ectotherm,0.712564605160937
bio1_mean,0.00218277909992492,0.0240727039793354,0.927751276010096,3196,0.979075116819671,-0.0078671170922732,Reptilia,verticality,single trait,Ambient energy,Ectotherm,0.958541686110174
bio12_mean,-0.0806240617126144,0.0333484683435283,0.0156222046828471,3196,0.979075116819671,-0.0078671170922732,Reptilia,verticality,single trait,Water availability,Ectotherm,0.034084810217121
npp,0.0304787542194596,0.0159237048661405,0.0556138722813175,3196,0.979075116819671,-0.0078671170922732,Reptilia,verticality,single trait,Productivity,Ectotherm,0.104457360110996
elev_range,0.0418024722772106,0.00900220540298207,3.42421230481449e-06,3196,0.979075116819671,-0.0078671170922732,Reptilia,verticality,single trait,Habitat heterogeneity,Ectotherm,1.5736805485956e-05
bio4_mean,-0.107124372674259,0.0487143049405292,0.0278755634473442,3196,0.979075116819671,-0.0078671170922732,Reptilia,verticality,single trait,Climatic seasonality,Ectotherm,0.0562721654637977
hfp2020,-0.000160871590771451,0.0104678386172484,0.987738451953207,3196,0.979075116819671,-0.0078671170922732,Reptilia,verticality,single trait,Human pressure,Ectotherm,0.987738451953207
bio1_mean,-0.18418779600077,0.0194897201996122,0,3196,0.984068299857358,-0.038471081328962,Reptilia,habitat_breadth,single trait,Ambient energy,Ectotherm,0
bio12_mean,-0.00708515758278043,0.0268517338164266,0.791886102987278,3196,0.984068299857358,-0.038471081328962,Reptilia,habitat_breadth,single trait,Water availability,Ectotherm,0.842598020912572
npp,0.0211297666353582,0.0127641133782343,0.0978425387504804,3196,0.984068299857358,-0.038471081328962,Reptilia,habitat_breadth,single trait,Productivity,Ectotherm,0.176116569750865
elev_range,-0.0407456431035762,0.00721314413050569,1.61567195178236e-08,3196,0.984068299857358,-0.038471081328962,Reptilia,habitat_breadth,single trait,Habitat heterogeneity,Ectotherm,1.02642688701468e-07
bio4_mean,-0.0637213747270385,0.0397237357246162,0.108689070075477,3196,0.984068299857358,-0.038471081328962,Reptilia,habitat_breadth,single trait,Climatic seasonality,Ectotherm,0.19402346393639
hfp2020,0.0244778063760568,0.00838823148124502,0.00352156835376349,3196,0.984068299857358,-0.038471081328962,Reptilia,habitat_breadth,single trait,Human pressure,Ectotherm,0.00884486935363854
bio1_mean,-0.165993834333222,0.0335763095880897,7.66227943316267e-07,3196,0.958061879623316,0.0156203610720275,Reptilia,range_size,single trait,Ambient energy,Ectotherm,3.9406008513408e-06
bio12_mean,0.0491622131631528,0.0477490897840723,0.30320027090903,3196,0.958061879623316,0.0156203610720275,Reptilia,range_size,single trait,Water availability,Ectotherm,0.417566021854727
npp,0.0211370520838102,0.023368258007887,0.365719839630487,3196,0.958061879623316,0.0156203610720275,Reptilia,range_size,single trait,Productivity,Ectotherm,0.473026858444223
elev_range,0.0165461198251245,0.0132507093385927,0.211775950968598,3196,0.958061879623316,0.0156203610720275,Reptilia,range_size,single trait,Habitat heterogeneity,Ectotherm,0.322138066262093
bio4_mean,0.177767949670473,0.0649147075707889,0.00617229855412393,3196,0.958061879623316,0.0156203610720275,Reptilia,range_size,single trait,Climatic seasonality,Ectotherm,0.0144473085609345
hfp2020,0.0243788307002141,0.0153938633959858,0.113268375844295,3196,0.958061879623316,0.0156203610720275,Reptilia,range_size,single trait,Human pressure,Ectotherm,0.200540731003014
bio1_mean,0.120982012497063,0.0316075434400204,0.000129382537202405,3196,0.938022996029667,-0.037087218607032,Reptilia,SIZE,functional axis,Ambient energy,Ectotherm,0.000443597270408245
bio12_mean,0.348782860812106,0.0458017818321475,2.64233079860787e-14,3196,0.938022996029667,-0.037087218607032,Reptilia,SIZE,functional axis,Water availability,Ectotherm,3.35731442646647e-13
npp,-0.115747871448169,0.0230983060652003,5.41203900583653e-07,3196,0.938022996029667,-0.037087218607032,Reptilia,SIZE,functional axis,Productivity,Ectotherm,2.85122074009306e-06
elev_range,-0.0116460174466179,0.0131658238008714,0.376391679310307,3196,0.938022996029667,-0.037087218607032,Reptilia,SIZE,functional axis,Habitat heterogeneity,Ectotherm,0.478238841284088
bio4_mean,-0.0809569183729632,0.0577631719808974,0.161055125915257,3196,0.938022996029667,-0.037087218607032,Reptilia,SIZE,functional axis,Climatic seasonality,Ectotherm,0.255793437231287
