class,grain,env,trait,stat,p_maxtest,p_naive,r2_naive,p_naive_adj,thermal
Aves,100km,bio15_mean,verticality,-0.0821206163050947,0.00338983050847458,1.04655500274411e-28,0.122269424333701,1.74425833790685e-28,Endotherm
Aves,100km,npp,verticality,0.181956081922037,0.00338983050847458,7.24640012104754e-228,0.665833185932197,9.05800015130943e-227,Endotherm
Aves,100km,elev_range,verticality,0.0190774520974243,0.248192771084337,0.636300895952743,0.000235974977124485,0.655980305105921,Endotherm
Aves,100km,het_shannon,verticality,0.131488997255516,0.00338983050847458,8.97574695145276e-96,0.365594470892304,3.5902987805811e-95,Endotherm
Aves,100km,hfp2020,verticality,0.134749977070325,0.00338983050847458,1.17808914003428e-127,0.456490945288755,5.60994828587751e-127,Endotherm
Aves,100km,lc_cropland,verticality,0.0435431988926165,0.0231884057971015,1.18508896216661e-32,0.138820741877701,2.15470720393929e-32,Endotherm
Aves,100km,bio1_mean,diet_breadth,-0.176492226025366,0.00338983050847458,8.45919776143897e-82,0.321125548460463,2.72877347143193e-81,Endotherm
Aves,100km,bio6_mean,diet_breadth,-0.221604742970581,0.00338983050847458,1.88467715448654e-190,0.599271649409133,1.88467715448654e-189,Endotherm
Aves,100km,bio4_mean,diet_breadth,0.233544804718721,0.00338983050847458,4.69591913161866e-203,0.623054866870568,5.21768792402073e-202,Endotherm
Aves,100km,bio12_mean,diet_breadth,-0.21990761450284,0.00338983050847458,2.14705218135068e-246,0.694582845750547,5.36763045337669e-245,Endotherm
Aves,100km,bio15_mean,diet_breadth,0.102086666266348,0.00338983050847458,4.03764120725581e-33,0.140762378093722,7.47711334677001e-33,Endotherm
Aves,100km,npp,diet_breadth,-0.117716501115735,0.00338983050847458,1.10997109294602e-72,0.290454841994479,3.36354876650308e-72,Endotherm
Aves,100km,elev_range,diet_breadth,-0.0733743621523225,0.00338983050847458,2.6761774218482e-11,0.0457795844251327,3.38756635676988e-11,Endotherm
Aves,100km,het_shannon,diet_breadth,-0.110083272503597,0.00338983050847458,6.55179769242856e-59,0.241511478489809,1.7707561330888e-58,Endotherm
Aves,100km,hfp2020,diet_breadth,-0.0903779036167853,0.00338983050847458,1.04323351713219e-45,0.191470194522739,2.3182967047382e-45,Endotherm
Aves,100km,lc_cropland,diet_breadth,0.0278495719107605,0.175308641975309,0.125869765880137,0.00246947079631852,0.135343834279717,Endotherm
Aves,100km,bio1_mean,diet_vert,-0.0765692458843777,0.0147058823529412,6.30908916021456e-22,0.0931339841658026,9.14360747857183e-22,Endotherm
Aves,100km,bio6_mean,diet_vert,-0.118196780224127,0.00338983050847458,1.61520279260263e-82,0.323487683620382,5.38400930867543e-82,Endotherm
Aves,100km,bio4_mean,diet_vert,0.161889218512112,0.00338983050847458,4.8247913141606e-244,0.69107548652888,9.64958262832119e-243,Endotherm
Aves,100km,bio12_mean,diet_vert,-0.106357105666877,0.00338983050847458,1.17555017561182e-81,0.320655130662383,3.67359429878692e-81,Endotherm
Aves,100km,bio15_mean,diet_vert,0.060533518311665,0.00655737704918033,4.29191927107763e-26,0.111145422282912,6.40584965832482e-26,Endotherm
Aves,100km,npp,diet_vert,-0.0209863148957666,0.575824175824176,4.93698222627738e-08,0.0309017363945323,6.09503978552763e-08,Endotherm
Aves,100km,elev_range,diet_vert,-0.0932265209791405,0.00338983050847458,6.30089411215508e-57,0.234194161284313,1.61561387491156e-56,Endotherm
Aves,100km,het_shannon,diet_vert,-0.0580450367791451,0.0147058823529412,3.95710236705205e-27,0.115568607565247,6.08784979546469e-27,Endotherm
Aves,100km,hfp2020,diet_vert,-0.0116497601039913,0.693617021276596,0.000331985295633547,0.0135024259329072,0.000373017186105109,Endotherm
Aves,100km,lc_cropland,diet_vert,0.0569274036806301,0.0126984126984127,2.25889097648799e-12,0.0506461331009251,2.8960140724205e-12,Endotherm
Aves,100km,bio1_mean,diet_plant,-0.182407907292113,0.00338983050847458,1.24319220241903e-152,0.518527402992676,7.76995126511891e-152,Endotherm
Aves,100km,bio6_mean,diet_plant,-0.201388285815565,0.00338983050847458,1.07346173449169e-239,0.684485348632651,1.53351676355956e-238,Endotherm
Aves,100km,bio4_mean,diet_plant,0.167120577060941,0.00338983050847458,2.74829716204987e-95,0.364097704672377,1.05703737001918e-94,Endotherm
Aves,100km,bio12_mean,diet_plant,-0.205885504866012,0.00338983050847458,0,0.798071548002457,0,Endotherm
Aves,100km,bio15_mean,diet_plant,0.0872289311447802,0.00338983050847458,1.13145536477514e-31,0.13473853526543,2.02045600852704e-31,Endotherm
Aves,100km,npp,diet_plant,-0.151013985357507,0.00338983050847458,1.05440308881782e-164,0.545924883673372,8.11079299090628e-164,Endotherm
Aves,100km,elev_range,diet_plant,-0.0086397699515406,0.627956989247312,0.264753698079718,0.00131178077069066,0.281652870297572,Endotherm
Aves,100km,het_shannon,diet_plant,-0.0941883827072744,0.00338983050847458,9.43411284231186e-63,0.255491243990526,2.6954608120891e-62,Endotherm
Aves,100km,hfp2020,diet_plant,-0.122255734777646,0.00338983050847458,7.2126669217146e-106,0.395904178243125,3.13594213987591e-105,Endotherm
Aves,100km,lc_cropland,diet_plant,-0.0218015202229005,0.280952380952381,7.18966471208834e-17,0.0708429861700822,9.58621961611779e-17,Endotherm
Aves,100km,bio1_mean,habitat_breadth,-0.11188634652352,0.00338983050847458,1.26673000405221e-28,0.121918407534297,2.07660656402001e-28,Endotherm
Aves,100km,bio6_mean,habitat_breadth,-0.160418388732226,0.00338983050847458,4.30686730010026e-89,0.344707351644043,1.48512665520699e-88,Endotherm
Aves,100km,bio4_mean,habitat_breadth,0.202522093121861,0.00338983050847458,4.29319151646066e-184,0.586711864115964,3.9029013786006e-183,Endotherm
Aves,100km,bio12_mean,habitat_breadth,-0.1687153788582,0.00338983050847458,1.77816025918203e-141,0.491744546144467,9.35873820622119e-141,Endotherm
Aves,100km,bio15_mean,habitat_breadth,0.0665964277784438,0.00338983050847458,8.09129229731164e-17,0.0706144454729098,1.06464372333048e-16,Endotherm
Aves,100km,npp,habitat_breadth,-0.0836021295721166,0.0147058823529412,1.27522043662452e-46,0.195031923689976,2.89822826505572e-46,Endotherm
Aves,100km,elev_range,habitat_breadth,-0.10479746056521,0.00338983050847458,1.55643491206004e-27,0.117294420740051,2.47053160644451e-27,Endotherm
Aves,100km,het_shannon,habitat_breadth,-0.116141552530221,0.00338983050847458,1.36766047505502e-63,0.258509333049882,4.02253080898535e-63,Endotherm
Aves,100km,hfp2020,habitat_breadth,-0.0444037040599354,0.0842105263157895,7.05810058051262e-19,0.0797504664781291,9.8029174729342e-19,Endotherm
Aves,100km,lc_cropland,habitat_breadth,0.033507290182872,0.0974358974358974,0.964269135776061,2.11795949386477e-06,0.964269135776061,Endotherm
Aves,100km,bio1_mean,litter_size,-0.129412121400615,0.00338983050847458,1.52268990320764e-52,0.217772732471222,3.71387781270155e-52,Endotherm
Aves,100km,bio6_mean,litter_size,-0.172158597908887,0.00338983050847458,4.13963829884093e-150,0.512597338648397,2.43508135225937e-149,Endotherm
Aves,100km,bio4_mean,litter_size,0.203520647737954,0.00338983050847458,0,0.798259187883643,0,Endotherm
Aves,100km,bio12_mean,litter_size,-0.14303173970173,0.00338983050847458,1.14596322053354e-90,0.34969204294884,4.09272578761979e-90,Endotherm
Aves,100km,bio15_mean,litter_size,0.0895555455031938,0.00338983050847458,3.97450434683825e-36,0.153147402145977,7.79314577811422e-36,Endotherm
Aves,100km,npp,litter_size,-0.0265939951009898,0.415555555555556,0.000369036376997032,0.0132963335933255,0.000410040418885591,Endotherm
Aves,100km,elev_range,litter_size,-0.0851384157076654,0.00338983050847458,3.68247089987718e-26,0.111430211002929,5.57950136345027e-26,Endotherm
Aves,100km,het_shannon,litter_size,-0.038128002155492,0.113924050632911,1.8961865275408e-06,0.0236704258228467,2.28456208137446e-06,Endotherm
Aves,100km,hfp2020,litter_size,-0.0270734788375176,0.323255813953488,0.000166370640961864,0.0148513903128633,0.000189057546547573,Endotherm
Aves,100km,lc_cropland,litter_size,0.0765319938635404,0.00338983050847458,3.03028012672866e-21,0.0901571873021302,4.32897160961237e-21,Endotherm
Aves,100km,bio1_mean,range_size,-0.171919674214058,0.00338983050847458,7.51568858640851e-37,0.156100984953164,1.5031377172817e-36,Endotherm
