estimate,se,z,p,term,n,lambda,class,clade,order,response,n_species,thermal,p_adj
0.178415410058851,0.123713599740018,1.44216489079445,0.149255862504094,ax_thermal,823,0.932556664287773,Reptilia,NATRICIDAE,SQUAMATA,SES.RaoQ,59,Ectotherm,0.307840216414693
0.172510827918061,0.0535322849859506,3.22255677977012,0.00127051981609472,ax_water,823,0.932556664287773,Reptilia,NATRICIDAE,SQUAMATA,SES.RaoQ,59,Ectotherm,0.0110334615608225
0.00747561872609132,0.0565263530311097,0.132250151039765,0.894786434655033,ax_productivity,823,0.932556664287773,Reptilia,NATRICIDAE,SQUAMATA,SES.RaoQ,59,Ectotherm,0.927477141395836
0.0101884394644072,0.0302531264884327,0.336773108997602,0.73628794603133,ax_structure,823,0.932556664287773,Reptilia,NATRICIDAE,SQUAMATA,SES.RaoQ,59,Ectotherm,0.852007650267422
-0.0560143410987638,0.0361455423094009,-1.54968877266493,0.121216234186519,ax_human,823,0.932556664287773,Reptilia,NATRICIDAE,SQUAMATA,SES.RaoQ,59,Ectotherm,0.271195642586788
-0.22826919898464,0.125497679585012,-1.81891171007676,0.0689249010139863,ax_thermal,823,0.93668750892555,Reptilia,NATRICIDAE,SQUAMATA,SES.body_mass.mean,59,Ectotherm,0.19194276231743
-0.0805832447538497,0.0540645086495966,-1.49050174997662,0.136092356678857,ax_water,823,0.93668750892555,Reptilia,NATRICIDAE,SQUAMATA,SES.body_mass.mean,59,Ectotherm,0.292576401980605
0.00886137394416414,0.0569567779591223,0.155580674709583,0.876363558779615,ax_productivity,823,0.93668750892555,Reptilia,NATRICIDAE,SQUAMATA,SES.body_mass.mean,59,Ectotherm,0.921567331883501
0.00441082553964841,0.0304339828167371,0.144930933496574,0.884765402880935,ax_structure,823,0.93668750892555,Reptilia,NATRICIDAE,SQUAMATA,SES.body_mass.mean,59,Ectotherm,0.9254281551528
0.0540921198319344,0.0364233812085362,1.48509331196461,0.137519107503814,ax_human,823,0.93668750892555,Reptilia,NATRICIDAE,SQUAMATA,SES.body_mass.mean,59,Ectotherm,0.293386985411392
-0.11902347703945,0.113604158323361,-1.04770352420255,0.294775223360865,ax_thermal,823,0.952260484018781,Reptilia,NATRICIDAE,SQUAMATA,SES.body_mass.var,59,Ectotherm,0.493507675471509
0.00769261348528978,0.0481878946637747,0.159637882894949,0.873166335416382,ax_water,823,0.952260484018781,Reptilia,NATRICIDAE,SQUAMATA,SES.body_mass.var,59,Ectotherm,0.921567331883501
-0.0452944896533883,0.0503645865657663,-0.899332104994897,0.36847579153384,ax_productivity,823,0.952260484018781,Reptilia,NATRICIDAE,SQUAMATA,SES.body_mass.var,59,Ectotherm,0.568210332739099
-0.00762071720866639,0.0267501298332504,-0.284885241909885,0.775732062939314,ax_structure,823,0.952260484018781,Reptilia,NATRICIDAE,SQUAMATA,SES.body_mass.var,59,Ectotherm,0.872203000919842
-0.0664961682961443,0.0322196407111347,-2.06383953478302,0.0390329332399972,ax_human,823,0.952260484018781,Reptilia,NATRICIDAE,SQUAMATA,SES.body_mass.var,59,Ectotherm,0.125056970574748
0.0871540109066555,0.134870596157394,0.646204683524547,0.518146806789677,ax_thermal,823,0.960274112306569,Reptilia,NATRICIDAE,SQUAMATA,SES.habitat_breadth.mean,59,Ectotherm,0.690862409052902
-0.272210361516273,0.0568030404931328,-4.79217941774054,1.64979261385589e-06,ax_water,823,0.960274112306569,Reptilia,NATRICIDAE,SQUAMATA,SES.habitat_breadth.mean,59,Ectotherm,3.62954375048297e-05
0.0934833658773821,0.0591569234799594,1.58026077723686,0.114047158286916,ax_productivity,823,0.960274112306569,Reptilia,NATRICIDAE,SQUAMATA,SES.habitat_breadth.mean,59,Ectotherm,0.25827322670459
0.00607535336087784,0.031327560620084,0.193929984991648,0.8462307047523,ax_structure,823,0.960274112306569,Reptilia,NATRICIDAE,SQUAMATA,SES.habitat_breadth.mean,59,Ectotherm,0.90667575509175
0.0325235159495482,0.037853680336488,0.859190326024868,0.39023551972581,ax_human,823,0.960274112306569,Reptilia,NATRICIDAE,SQUAMATA,SES.habitat_breadth.mean,59,Ectotherm,0.584025947888967
0.23897128476859,0.126724812330022,1.88574976261358,0.059328683612411,ax_thermal,823,0.945019005485597,Reptilia,NATRICIDAE,SQUAMATA,SES.habitat_breadth.var,59,Ectotherm,0.168055498644598
0.0353526444307045,0.054128622633072,0.653122926669567,0.513677032907985,ax_water,823,0.945019005485597,Reptilia,NATRICIDAE,SQUAMATA,SES.habitat_breadth.var,59,Ectotherm,0.688759148003613
